starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	19
Tue Jun 19 18:00:38 2018	1529402438	1	24	24	23
Tue Jun 19 18:00:39 2018	1529402439	0	24	24	22
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	23
Tue Jun 19 18:00:39 2018	1529402439	1	24	24	24
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	21
Tue Jun 19 18:00:38 2018	1529402438	0	24	24	23
Tue Jun 19 18:00:38 2018	1529402438	1	24	25	22
Tue Jun 19 18:00:38 2018	1529402438	3	22	25	21
Tue Jun 19 18:00:38 2018	1529402438	1	24	25	24
Tue Jun 19 18:00:38 2018	1529402438	1	24	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	24	25	22
Tue Jun 19 18:00:38 2018	1529402438	0	24	25	24
Tue Jun 19 18:00:39 2018	1529402439	1	24	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	19
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	1	24	25	23
Tue Jun 19 18:00:39 2018	1529402439	0	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	23
Tue Jun 19 18:00:39 2018	1529402439	0	25	25	25
Tue Jun 19 18:00:39 2018	1529402439	0	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	1	24	25	23
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	20
Tue Jun 19 18:00:39 2018	1529402439	0	25	25	25
Tue Jun 19 18:00:38 2018	1529402438	1	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	25	22
Tue Jun 19 18:00:39 2018	1529402439	0	25	25	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	26	25
Tue Jun 19 18:00:39 2018	1529402439	1	25	26	24
Tue Jun 19 18:00:38 2018	1529402438	0	25	26	24
Tue Jun 19 18:00:39 2018	1529402439	0	25	26	22
Tue Jun 19 18:00:38 2018	1529402438	0	25	26	25
Tue Jun 19 18:00:39 2018	1529402439	0	25	26	22
