starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	27
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	28
Tue Jun 19 18:21:57 2018	1529403717	1	30	31	27
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	31
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	24
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	3	28	31	28
Tue Jun 19 18:21:56 2018	1529403716	2	29	31	29
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	28
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	27
Tue Jun 19 18:21:57 2018	1529403717	0	31	31	30
Tue Jun 19 18:21:57 2018	1529403717	1	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	3	28	31	27
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	31
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	30
Tue Jun 19 18:21:57 2018	1529403717	1	30	31	27
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	31
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	2	29	31	29
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	31
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	31
Tue Jun 19 18:21:57 2018	1529403717	2	29	31	25
Tue Jun 19 18:21:56 2018	1529403716	0	31	31	28
Tue Jun 19 18:21:56 2018	1529403716	3	28	31	28
Tue Jun 19 18:21:56 2018	1529403716	2	30	31	29
Tue Jun 19 18:21:56 2018	1529403716	1	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	3	28	31	25
Tue Jun 19 18:21:57 2018	1529403717	1	30	31	30
Tue Jun 19 18:21:56 2018	1529403716	1	31	31	30
Tue Jun 19 18:21:56 2018	1529403716	0	31	32	31
Tue Jun 19 18:21:56 2018	1529403716	2	29	32	29
Tue Jun 19 18:21:56 2018	1529403716	0	31	32	30
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	29
Tue Jun 19 18:21:57 2018	1529403717	0	31	32	28
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	30
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	29
Tue Jun 19 18:21:57 2018	1529403717	0	31	32	28
Tue Jun 19 18:21:56 2018	1529403716	0	31	32	31
Tue Jun 19 18:21:57 2018	1529403717	1	31	32	28
Tue Jun 19 18:21:56 2018	1529403716	0	31	32	30
Tue Jun 19 18:21:56 2018	1529403716	1	31	32	27
Tue Jun 19 18:21:56 2018	1529403716	1	31	32	30
Tue Jun 19 18:21:56 2018	1529403716	1	31	32	30
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	31
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	30
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	32
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	29
Tue Jun 19 18:21:56 2018	1529403716	1	31	32	31
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	32
Tue Jun 19 18:21:56 2018	1529403716	1	31	32	31
Tue Jun 19 18:21:56 2018	1529403716	3	29	32	29
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	31
Tue Jun 19 18:21:56 2018	1529403716	3	29	32	27
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	26
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	31
Tue Jun 19 18:21:57 2018	1529403717	1	31	32	27
Tue Jun 19 18:21:56 2018	1529403716	3	30	32	29
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	29
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	32
Tue Jun 19 18:21:57 2018	1529403717	0	32	32	32
Tue Jun 19 18:21:56 2018	1529403716	2	30	32	29
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	31
Tue Jun 19 18:21:56 2018	1529403716	1	32	32	31
Tue Jun 19 18:21:57 2018	1529403717	1	32	32	31
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	32
Tue Jun 19 18:21:56 2018	1529403716	0	32	32	26
Tue Jun 19 18:21:56 2018	1529403716	1	32	32	27
Tue Jun 19 18:21:57 2018	1529403717	1	32	33	27
Tue Jun 19 18:21:56 2018	1529403716	3	30	33	29
Tue Jun 19 18:21:56 2018	1529403716	0	32	33	26
Tue Jun 19 18:21:57 2018	1529403717	1	31	33	31
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	26
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	33
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	28
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	32
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	31
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	32
Tue Jun 19 18:21:56 2018	1529403716	0	32	33	32
Tue Jun 19 18:21:56 2018	1529403716	0	32	33	32
